report id,ip_id,ip,total_urls,url,date
66,14,185.6.80.139,314,http://185.6.80.139/Ish63QhL7x2AdHBbRq0f2AhKlzlhMoCDXzYw+Y8OAP2ER53UJiNsGnsCW05aE7KRme6ibunXTXNT4MlUbcPNPQpW/5onuz0EZEg+cHtekPJ/H/Abrl05P1m1QAh7Os9hqWwwLeSwrNbVjQN5Pp5m8m50mgov5Dz67DLMFVrxh6+fUJQsy6ESGnQjLGsg9rDjwBoKJzBc/ppQA7Lz/M+4lTS/D9ZgjBKRQFcCD2Z33DDWTQ5csdcRNGatLkCCOkdksAfKS9kL4k8eWTn3pTN6Wo0jvOx5pZD4Yxl0yGtl8/E7drG8J1bR41KCe7VN9YXzXLLpQDWhWuKv4HYzS0qZjfifswLjgrlx8Ni/X8L9t7waNyhDtRsjU+Jc1J/N6lML2zkkgf9NGCVpxMdeeGNeMxfnYMyLFPyK+6THmW/B9ed+sUJ7aCFjzJ3bxNuJ/B0y9MR0RfjNcsJVZECXxr+PXPHoYM,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/VEfSzTKqEwAZ0oM8LRBroeFwpIJVlLLyc1eg1ZlIoU1BcXyaRKhZSo7djoky94HcyGyZywNJ+uM8RT+9K+EmkOA5IMG1dmd7eCjpzl1+UocdieVkHZqPfgA/nR7pXKtMEMunWC4mdb4OQHPDTf2vwS1gXUXfE3Ieeq2AeazdeBqHCB1tLM+o0zMKTTjLb6XrNiiw641CpDibXd4cao8XcMkEi7CPnx7OP9N2v0PWUuCHOqSUj2uEjGFyOKgzkJCL7wj9gFSWNkkSMAu0dZNa4s32EDDcD3lxR2/vh+gPpvmYGLVilIrIFdLWX5vVZz0ig5DUZU90spuwLhA5Tv7mgOAKx7kEkKmMNSxtoq/bF72bw6Yu9JDeOojocHQJPiLKMDeWYTbSJq/92G5mx2UHUZ42Xy3bJ22bLfTjBwJ2Ls6uhJWJh/LBOJ/eYKZLG0uGqnSvUebLFdxGO23cI9qiL2G9KTw,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/mMePSsq4TdGv9/qqrs3PRzMXFRaQ3KsILVWZ+tuc8KLb8yKG5GQCvaMGqw3oLFjksNJUY+r8OZ4SgA/y1qcVFc5kv6wMu9HFp1+8jtZS61z6i17a6paROAX1DXdFt76+/7x3OIR9FmlEooAZN+iTJVqNfZzDnjvra7SkurlP8eGrcnegVqzwieIkT6OuW3BLoD4aBlGNwGLYVyWtPS60YfApj6mjg9kIurX3rUkTXQpGQRREcDgxcv4nNM7Ia+TxYaz5ceNKKf3Ew4sAVr0XGJ/Eps2dg0M1gPSemOvpUKWvqaAbKsS2Gc7ybQM2ZMdMA6qTkF7qshcr/s0jwUNMCim1gVx4H7eWzfzJ5EXAwbC2Z5gI6etNB8Fmjg+yJuaEJU9jFNE1wpshWOVsCNrzaCdlV4f6sUJCuEtS6ljv3PJ/X9LiQg8d3911ll3FftrWx4h9DY7FPgcKDsp5dSWdD6g7ABI,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/WigISWG6LjXHFbs9b7zpu594lH/7aRwT5fhaW6KEszw4krIeYsmWj67OteoevCF3Nw4bmch0/8HFk/7URwXbPemkGXZk1BfgZ2lzGLg8hPv9WJJwme7AAABOq5icD+spDxbGO978z/zeppEdXGqZtD/aF/NSFH3pJpZxyqcw5G3RSA0d8VNvy49HTZqKfEhe9WkymnTBMcU7LNUW8fm/ek1q25H1cwoQmhd9SqxeK6mjbNxwbDbd3OVtLifLb06y3ioe/KW1kjjXcH2C0dkR/EVu0VboY9mzOGBeg2g77lgarOKdB+WqOA3ZQa6Bihjxgd88FGqiWucVcLROTir2OVsurmR/1TWTCQr3gvQi1r9sPFbdAx8cRRbQEsYp+rdFzlV+5C2l12beRGBlkZ79qgU5Cs2eAzA0Mb+5BG9shVVltL65DCNPhUA4LLxaa8WHY7Me4jqhl8wO24Vkvuk8SJJF6Vg,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/Y4t0Y0NE+maV+JXQkkL4CAUicSqDpeRxaHBtcdGIvNg8kztSIyTJozUpwJGQ/5IF0larQbIN+eK2OhtEBHklxBuQv00AGZgKq0bhiUQHW41hE+RQh+T5pngD/5zBFfKixgrI/jGP5+g0AJ9E/+04Qyqrh3/F6CNxlj00u58yrt9TAxeBhyA8XN15+q4yPG2n62G4NUmbsMY1Bx8T0hc5r0p5101oCqFUZrv6rC58TEhLe3Ex6KbxhEthMxs4elZ7/Hpy0tWpbB1wotye6I9vQKWJEsUTA9M75vVAwxL0P9nO96Dpj1qnbJUQ6/rGiEz5V3e2lc9f/5FaWZPddKs/ZcA49aauughuKmgXIr5R2tBR8Fqok1f4J6ZLv+dNTtS/8WV1isXZwo4gF3nvmTZLMqN/3zZvYdWWPkmiYhoRkJ7vFuH1pYkDt0NFSXLZEdf7Cs4JA5FRL8jC9jOOMaVCgAj3ayI,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/BVxMOQ20g6NkW7Rqtx3Tz0EsJ1JDwN8tcKulYzU/4IwEeFk5f5vFAMsXBw9ay+C/pR1mlgheIuoEAc/571IT4bZMkpdRqK8CDpokRjYZLcrFEvFmsxbX8fV2gY47M98rgKubYx+TDac/niFaT7MNyQwytvK3TytxUepzt+ZX0TGgRieaVeLJBjkFtdpLzc0SjCF1NfPPDEGktFPJHIX9FyTtkxw1ITswQ5OvvJaTY7WCfCNIxkVhZj2EL0zJMBye2eTLHHMEPfzGcaREhoTTrSvqQakLVZDkLv24b7lwegNDJGOsw0KtlFni5ljdlkMEg7N2f295/sSyE6GpfOndsjQqodM3sy5ET5L4OA6YkN3ZJSLcwsGQIfRxdso69gdvcSppcEEbqTTIYSi6tVHNBC9BqIzqXFxsEph8SZgTZtmDVQALlGFAA3pjb9TQ20X3NltRf9NqyoL65kw8wdGw8pxMMBU,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/rjFYt8dVtFbieU5jPbkRtCFFvA3J5uGQkJVMGIBoWaK5DXkUnMlADFKIQ53x3VTSDWnTvhBwAw52mCpO7fuCNt18YQca3r2KZJJkAYZJefzoiOaA5C3f/hGVxK3SzB0ujKU2ax9zn7ZeTJWObFUkpkB6NRXiz0SLfAdR0Umd5ViXzYliVYffaInFkNztAWoDJ4QHil+Of4/40Vee9HSigWRKhLnL8t/34mERjb4ltKacAZS4KRlj41ZpuiRo5Mg9PgqAA+AC+osUD2B+Gtn5EZph9AvLPvs09p65EQoB6MArdVEcJ9ZJVbZzI3IMZd0WGeb7H9itu9YAjLyVkozEgc9HelckJBBHpBa6eclVIHKCvlyqZ6sdjaDsmsQ8onsRQK1nyXcTXqHx8ow7WXpdD6qzf2q6M8yoLHxZJwt5zfcR98gvT5fQwHN0WNe1/eYICAvzHcX3me+tDTJ5SwY82PD57hY,2018-12-06
66,14,185.6.80.139,314,http://185.6.80.139/1lnbSuaOJpf34/XXR8LcDrnyRbR7QFXdoJVSL3biGuJpY/k2x3ec8y1pAn9CT+Gp0q0z36JMKEgocDGOCO5ZZ04JuydIBOsv9hlovX9/6Va4b2i89N/Y1MrnsmHAmVr+smzzAE53eN+cGkG547kv+n3KUuKDCDNfkya+ydTkAlyCzQ102twxoorVU3kw9VW78y3/kYZp/mANMocC3RpBzzGVQNbrb4GXNIHJICsXKXh+ksdTBvbhbTyH66pVjmREWEhsE06ClI4DrTOJgfiWRVC1pB5f4FzlcNfVednmEsgYOgUspHqrKUyzG1VKiGNGqweujNZg/tigejlgOSk+qQczEIoTpNMkuFukHkOPAT21lLSjvbTTIS4RqLnW29xp69CPESvRPWhum65ipcpQrz56re2YSsbmqQVmQU2Z9frC3IYSkxieec6h9qOOkRcPhpBZld4umAwCcHEoo8K9iFwUdKg,2018-11-28
83,15,79.3.197.89,5,http://79.3.197.89,2020-06-12
83,15,79.3.197.89,5,https://79.3.197.89,2020-06-12
83,15,79.3.197.89,5,https://79.3.197.89/,2019-10-05
83,15,79.3.197.89,5,http://79.3.197.89/app/pro/,2018-01-18
83,15,79.3.197.89,5,http://79.3.197.89/,2017-12-21
83,16,217.194.13.133,20,http://217.194.13.133/appP,2020-11-18
83,16,217.194.13.133,20,http://217.194.13.133/190/,2020-11-18
83,16,217.194.13.133,20,http://217.194.13.133/tre/i,2020-11-18
83,16,217.194.13.133,20,http://217.194.13.133/tre/internet/Configuratore_3.a,2020-11-18
83,16,217.194.13.133,20,http://217.194.13.133,2020-06-12
83,16,217.194.13.133,20,https://217.194.13.133,2020-06-12
83,16,217.194.13.133,20,http://217.194.13.133/appPro_AC.apk,2020-02-02
83,16,217.194.13.133,20,http://217.194.13.133/app/pro_v5,2019-11-27
83,16,217.194.13.133,20,http://217.194.13.133/app/pro/ser.php,2018-10-05
83,16,217.194.13.133,20,http://217.194.13.133/app/pro/upload_status_command.php,2018-10-05
86,17,82.146.54.187,614,http://82.146.54.187/tools/ptdb_,2021-08-15
86,17,82.146.54.187,614,http://82.146.54.187/0.zip,2021-08-13
86,17,82.146.54.187,614,http://82.146.54.187/aixA6380IyxLaSrD9FphKFwbCnyUE8nRaixA6380IyxLaSrD9FphKFwbCnyUE8nR/0/1/0/0/64/0:0:0/,2021-05-07
86,17,82.146.54.187,614,http://82.146.54.187/aixA6380IyxLaSrD9FphKFwbCnyUE8nRaixA6380IyxLaSrD9FphKFwbCnyUE8nR/0/1/0/0/64/0:0:0/2,2021-05-07
86,17,82.146.54.187,614,https://82.146.54.187/index.php,2021-04-26
86,17,82.146.54.187,614,https://82.146.54.187/,2021-04-08
86,17,82.146.54.187,614,http://82.146.54.187/rS4shaunYLfGAOkx7BLeCRe9ZY8jvhPcrS4shaunYLfGAOkx7BLeCRe9ZY8jvhPc/0/0/0/,2021-02-20
86,17,82.146.54.187,614,http://82.146.54.187/rS4shaunYLfGAOkx7BLeCRe9ZY8jvhPcrS4shaunYLfGAOkx7BLeCRe9ZY8jvhPc/0/0/0/0,2021-02-20
86,17,82.146.54.187,614,http://82.146.54.187/aixA6380IyxLaSrD9FphKFwbCnyUE8nRaixA6380IyxLaSrD9FphKFwbCnyUE8nR/0/1/0/0/84/,2021-01-11
86,17,82.146.54.187,614,http://82.146.54.187/aixA6380IyxLaSrD9FphKFwbCnyUE8nRaixA6380IyxLaSrD9FphKFwbCnyUE8nR/0/1/0/0/84/0:0:0,2021-01-10
90,18,46.161.20.36,1,http://46.161.20.36/,2017-03-31
90,19,69.50.214.53,3,http://69.50.214.53/mac.php,2014-12-04
90,19,69.50.214.53,3,http://69.50.214.53/mac.php?affid=00101,2014-12-03
90,19,69.50.214.53,3,http://69.50.214.53/mac.php?,2014-11-11
90,20,69.50.214.54,7,"http://69.50.214.54/i.php?v=1012&affid=36410,69.50.214.54",2019-01-20
90,20,69.50.214.54,7,http://69.50.214.54/i.php?v=1012&affid=36411,2019-01-20
90,20,69.50.214.54,7,http://69.50.214.54/i.php?v=1012&affid=36414,2019-01-20
90,20,69.50.214.54,7,http://69.50.214.54/i.php?v=1012&affid=36412,2019-01-20
90,20,69.50.214.54,7,http://69.50.214.54/i.php?v=1012&affid=36410,2019-01-20
90,20,69.50.214.54,7,http://69.50.214.54/i.php?v=1012&affid=36413,2014-07-09
90,20,69.50.214.54,7,http://69.50.214.54/,2014-02-13
90,21,69.50.214.57,0,NA,NA
90,22,86.55.210.10,0,NA,NA
90,23,91.200.241.20,0,NA,NA
90,24,91.200.241.200,1,http://91.200.241.200/,2020-01-11
90,25,91.213.217.3,0,NA,NA
90,26,91.213.217.30,1,http://91.213.217.30/,2020-01-13
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=01842&data=ADFBD38BE7627C79F18FAF6F89F182A8D820FC19FADB16B3472C0928B8AB772901041&v=14,2022-05-06
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=01804&data=ADFBD38BE7627C79F18FAF6F89F182A85E6EC5E8E8A8C589D5BF466E80E279B801041&v=14,2021-09-05
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=26400&data=ADFBD38BE7627C79F18FAF6F89F182A847A1A96B576236D8CFEDF3733861D17601041&v=14,2021-09-02
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=01803&data=ADFBD38BE7627C79F18FAF6F89F182A8AAB4E6B47F4606F5858781071C37846A01041&v=14,2021-07-05
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=01803&data=adfbd38be7627c79f18faf6f89f182a806d43901c67eed5f5fa8f7f4c93c4c5701041&v=14,2020-08-20
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=02400&data=adfbd38be7627c79f18faf6f89f182a8fc6565de3db185296716353854fbc7d501041&v=14,2020-07-11
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=26400&data=adfbd38be7627c79f18faf6f89f182a8b20678226077aa61721ea6b4374f31c601041&v=14,2020-05-10
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=14700&v=16,2020-05-04
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=01825&data=adfbd38be7627c79f18faf6f89f182a8a3247407d1ee5f2403d3af3de8f05ce601041&v=14,2020-03-12
90,27,95.64.55.5,1290,http://95.64.55.5/i.php?affid=28266&data=adfbd38be7627c79f18faf6f89f182a88f2bddd060a531f4d3fa6cc99bad243e01041&v=14,2020-03-10
90,28,178.17.162.117,0,NA,NA
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=00000&data=FB3A2EEAE8F4CDE55967FB60AF13950B05DD7B6092F44175C39DBC2F0962CB0901091&v=14,2022-06-24
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=01804&data=ADFBD38BE7627C79F18FAF6F89F182A8EE24CE351B2E6383A0F3A20D3CB72CB401041&v=14,2022-02-03
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=01804&data=771410b4237e81798522201be817fe460deacf90e95b021f28a3f5104e36f8d901091&v=14,2022-02-01
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=41230&data=ADFBD38BE7627C79F18FAF6F89F182A8EE78C4166023D33FB46D846DCBE39A5801041&v=14,2021-10-27
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=01812&data=ADFBD38BE7627C79F18FAF6F89F182A8D88D9344B5FBF27004C13DC7B7AEE54301041&v=14,2021-10-09
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=09100&data=ADFBD38BE7627C79F18FAF6F89F182A892BAD714B93206B9B75C87E69A79557A01041&v=14,2021-07-29
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=01813&data=ADFBD38BE7627C79F18FAF6F89F182A8CB8B7D183FD6F2BCB182568D2541282701041&v=14,2021-05-31
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=01822&data=ADFBD38BE7627C79F18FAF6F89F182A83AD94A1808B9A382A4A9D99F4FFDA8D601041&v=14,2021-05-30
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=28262&data=ADFBD38BE7627C79F18FAF6F89F182A8A126DE0814E2C934A08B8ED6BB775BC001041&v=14,2021-04-27
90,29,178.17.164.6,1293,http://178.17.164.6/i.php?affid=10600&data=adfbd38be7627c79f18faf6f89f182a8bd7ca2e3a31d73b96b0b9ef1643cc09701041&v=14,2020-07-04
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQEpVVjj+g+Nk4KHeNvQZMWGykAUHOTsxuvP9YToOmLDirbaOUfm7rXaxcM0Pn1CR2H37vtYENiWGEMop7XefOV2vcH4rvVStpLuZHJMJ7YvlUXkKYRt4TkHDHifIy3E,2018-06-09
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQF9VVji07PUz0KHeNsBLf+4pZrFjU1F3OIM1u5YOmKfu/mYUvmqoXa6aIUJkV6X3lzt65ElOWrZVqk6uyuAfg/zJToHxEvkmvupXqNZ3dPtMH1HKUo5fQH5SSvzhXJ4nMzx/dVNoSVw7363oMmwsvM7MEE,2018-06-07
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQExVVjjfv6UV0KHeNn4kQF5TRMjzrfmrJto7amwOmL3gt/yRF+SmqDj8e88anFH0w027joE0Yiu/Qfp85n6bOy+VNnJYvVCtp7mmWJAI3tLqMHVHdQp6VlCtB3bzknJ0mg,2018-01-16
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQExVVjjibZye4KHeNiwPuUuFKuSERgroSsRmmwIOmKPmp/bWXf6r7jyiZcYPk0uX0Bb/7YxgXm+PEsoo7XifBw+lBAtYhxSkmv2pXJkxldrrMHVHcxl2U16kD3bzknJ6nA,2018-01-15
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQDZVVjg/6GZ65aHeNusRXrLoBqFxmC+K9G87mMcOmLzqsPSeXfzktjK7ZNoDklGNuQextelsbiyHKKNwkw2bPVqrSj5ShRKd4rGnZMIBnYixV3cHZxoKXwv6Rw,2016-11-10
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQF9VVji07PUz0KHeNsBLf%204pZrFjU1F3OIM1u5YOmKfu/mYUvmqoXa6aIUJkV6X3lzt65ElOWrZVqk6uyuAfg/zJToHxEvkmvupXqNZ3dPtMH1HKUo5fQH5SSvzhXJ4nMzx/dVNoSVw7363oMmwsvM7MEE,2015-08-27
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQDZVVjj1gkMP4KHeNpWCmThrJBn3f34HNwsLVVsOmL/qo7aEU%20W97im%20fMsZ90/Eg33pvtA8XnyPG/R%205n6bOy%20VNnJchyjlqrmZBZNXi5SxU3YZZnhhBAf4SQ,2015-08-13
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQDZVVjj1gkMP4KHeNpWCmThrJBn3f34HNwsLVVsOmL/qo7aEU+W97im+fMsZ90/Eg33pvtA8XnyPG/R+5n6bOy+VNnJchyjlqrmZBZNXi5SxU3YZZnhhBAf4SQ,2015-08-13
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQDNVVjh5SPDL5aHeNgXKLnuR+Mvi9GbNckNuYVEOmKbntenWVePkkg6eU6Qaxw/00U24tultblzwYPB64X2he1arcEIajROd+7H5HNpchpG8UhQcK0Y3CA,2015-03-19
97,30,199.71.233.126,33,http://199.71.233.126/m/IbQDVVVjhRa1sZV63eNnElUL+lhWi6wIkhLid9EiUOmKX9teuYULu1qjLdYZRa913EhUOB59lPZC32EvB54kTdN16vSjpSgBGlqYH4VNhJg5ewWGkVGxM6BwLx,2015-02-13
97,31,83.133.127.200,0,NA,NA
99,32,146.185.220.23,53,http://146.185.220.23:8080/pgt/?ver=0.1.2503&id=113&r=421968&os=5.1|1|6.0.2900.5583&res=2|1023|661,2019-03-16
99,32,146.185.220.23,53,http://146.185.220.23:8080/pgt/?ver=0.1.2503&id=101&r=400906&os=5.1|1|6.0.2900.5583&res=2|1023|663,2018-07-05
99,32,146.185.220.23,53,http://146.185.220.23/pgt,2017-12-08
99,32,146.185.220.23,53,http://146.185.220.23/rgr,2017-12-08
99,32,146.185.220.23,53,http://146.185.220.23:8080/pgt/?ver=0.1.2503&id=0&r=-1079313234&os=5.1|1|6.0.2900.5512&res=1|1023|820,2016-10-15
99,32,146.185.220.23,53,http://146.185.220.23:8080/pgt/?ver=0.1.2503&id=0&r=-1079243265&os=5.1|1|6.0.2900.5512&res=1|1023|819,2016-10-15
99,32,146.185.220.23,53,http://146.185.220.23:8080/pgt/?ver=0.1.2503&id=0&r=-1079219515&os=5.1|1|6.0.2900.5512&res=1|1023|819,2016-10-15
99,32,146.185.220.23,53,http://146.185.220.23:8090/rgr/,2016-04-24
99,32,146.185.220.23,53,http://146.185.220.23:8080/pgt/?ver=0.1.2507&id=101&r=291656&os=6.1|1|8.0.7601.17514&res=1|1535|1152,2015-12-03
99,32,146.185.220.23,53,http://146.185.220.23:8080/,2015-12-03
99,33,195.20.141.72,56,http://195.20.141.72,2020-11-25
99,33,195.20.141.72,56,https://195.20.141.72,2020-11-25
99,33,195.20.141.72,56,http://195.20.141.72/pgt/?ver=0.1.2507&id=101&r=120968&os=6.1|1|8.0.7601.17514&res=1|1023|721,2019-08-26
99,33,195.20.141.72,56,http://195.20.141.72:8080/pgt/?ver=0.1.2503&id=113&r=400781&os=5.1|1|6.0.2900.5583&res=2|1023|664,2019-03-16
99,33,195.20.141.72,56,http://195.20.141.72:8080/pgt/?ver=0.1.2503&id=101&r=401828&os=5.1|1|6.0.2900.5583&res=2|1023|664,2018-08-06
99,33,195.20.141.72,56,https://195.20.141.72/,2015-06-14
99,33,195.20.141.72,56,http://195.20.141.72:8080/,2014-12-06
99,33,195.20.141.72,56,http://195.20.141.72:8080/pgt/?ver=1.1.1211&id=168&r=29294444&os=6.1|2|11.0.9600.17420&res=4|8073|2867&f=1,2014-11-21
99,33,195.20.141.72,56,http://195.20.141.72/rgr/?id=91585265cddc035a6a262a0a754f6a42,2014-11-20
99,33,195.20.141.72,56,http://195.20.141.72/pgt/?ver=1.1.1211&id=123&r=474633&os=6.1|1|10.0.9200.17148&res=4|3570|1847&f=1,2014-11-19
101,34,91.121.151.137,0,NA,NA
124,35,80.74.135.131,1,http://80.74.135.131/1/filenames.php,2014-02-16
126,36,6.3.1.8,2,https://6.3.1.8,2020-05-04
126,36,6.3.1.8,2,http://6.3.1.8,2020-05-04
128,37,173.192.182.45,27,http://avnsolutions.com/uploads/1/3/0/8/130874237/d7fb7e8a5.pdf,2020-06-23
128,37,173.192.182.45,27,http://avnsolutions.com/uploads/1/3/0/3/130323622/5202586.pdf,2020-06-20
128,37,173.192.182.45,27,http://avnsolutions.com/uploads/1/3/0/7/130776215/tejeg,2020-06-20
128,37,173.192.182.45,27,http://avnsolutions.com/uploads/1/3/0/4/130488513/b474e089034.pdf,2020-06-20
128,37,173.192.182.45,27,http://avnsolutions.com/uploads/1/3/0/6/130639689/71b3d69e.pdf,2020-06-19
128,37,173.192.182.45,27,http://avnsolutions.com/uploads/1/3/0/4/130477719/moradonowitodoji.pdf,2020-05-31
128,37,173.192.182.45,27,http://www.allianceservers.net,2020-02-21
128,37,173.192.182.45,27,http://lillacasino.com/,2019-10-14
128,37,173.192.182.45,27,http://versaformer.com/,2019-08-27
128,37,173.192.182.45,27,http://woodsinvestment.com/,2019-08-14
129,38,152.160.131.83,4,http://152.160.131.83/video/0109.exe,2016-10-29
129,38,152.160.131.83,4,http://152.160.131.83/video/notepad.exe,2015-01-12
129,38,152.160.131.83,4,http://152.160.131.83/,2013-06-21
129,38,152.160.131.83,4,http://152.160.131.83/flash/install_flash_player.tmp2,2012-11-30
133,39,23.66.199.15,0,NA,NA
146,40,50.16.5.200,0,NA,NA
165,41,81.95.145.241,4,http://81.95.145.241/,2018-11-14
165,41,81.95.145.241,4,http://81.95.145.241/tst.bin,2018-03-30
165,41,81.95.145.241,4,http://81.95.145.241/.c/e/cfg.bin,2015-04-15
165,41,81.95.145.241,4,http://81.95.145.241/.c/o/cfg.bin,2014-04-04
168,42,220.196.42.133,0,NA,NA
168,43,64.120.147.197,0,NA,NA
247,44,222.175.169.73,0,NA,NA
265,45,222.77.178.218,44,http://222.77.178.218/x3/1.txt,2019-11-11
265,45,222.77.178.218,44,http://222.77.178.218/xz/1.exe,2019-10-25
265,45,222.77.178.218,44,http://222.77.178.218/x5/1.exe,2018-07-31
265,45,222.77.178.218,44,http://222.77.178.218/xz/8.ex,2017-08-22
